"series","mu","phi","sigma"
"SPY",1.58664888601805,0.999,0.0466846758049159
"TLT",-11.3893431753411,0.998491057136898,0.0461484035920057
"HYG",-11.6944782233395,0.997945138113204,0.087702398285152
"QQQ",-11.0045419815406,0.995764608646492,0.0702692850982808
"IWM",-10.6307855411797,0.996463488477071,0.0484510294321147
"EFA",-11.5680846486577,0.993475068141575,0.0663434468326136
"EEM",-7.71342302424592,0.999,0.028726063150679
"SHY",-5.66254501356378,0.999,0.0297886753238868
"LQD",-10.0890679506514,0.999,0.0946783512557942
"GLD",-9.64368162350775,0.997818304472718,0.0546769884636876
"Factor1",0.307939771184532,0.997985886807612,0.0700391516188114
"Factor2",0.635492260747623,0.999,0.0233698000848711
"Factor3",0.0280949762683005,0.998495469341056,0.0249401413983871
