"budget","strategy","period","mean_equity_weight"
"pf1","Rolling_MeanVar_22d","gfc",NA
"pf1","Rolling_MeanVar_22d","covid",0.45
"pf1","Rolling_MeanVar_22d","rate_shock_2022",0.45
"pf1","FSV_MeanVar_22d","gfc",NA
"pf1","FSV_MeanVar_22d","covid",0.45
"pf1","FSV_MeanVar_22d","rate_shock_2022",0.45
"pf2","Rolling_MeanVar_22d","gfc",NA
"pf2","Rolling_MeanVar_22d","covid",0.6
"pf2","Rolling_MeanVar_22d","rate_shock_2022",0.6
"pf2","FSV_MeanVar_22d","gfc",NA
"pf2","FSV_MeanVar_22d","covid",0.6
"pf2","FSV_MeanVar_22d","rate_shock_2022",0.6
"global_minvar","Rolling_MinVar_22d","gfc",NA
"global_minvar","Rolling_MinVar_22d","covid",0.170255405188575
"global_minvar","Rolling_MinVar_22d","rate_shock_2022",0.414995625000533
"global_minvar","FSV_MinVar_22d","gfc",NA
"global_minvar","FSV_MinVar_22d","covid",0.39827118697464
"global_minvar","FSV_MinVar_22d","rate_shock_2022",0.499995648072327
