"ticker","n_obs","mean_daily","sd_daily","annualized_return","annualized_volatility"
"SPY",4783,0.000481676032515413,0.0124581608940761,0.107156805831264,0.197767173113733
"QQQ",4783,0.000688713512940766,0.0140409813059595,0.160273934544077,0.222893668193254
"IWM",4783,0.000429359425180087,0.0156444842580248,0.0802931730552361,0.248348488419591
"EFA",4783,0.000271614842136219,0.0137157232336903,0.0457226850091037,0.21773035636641
"EEM",4783,0.000329392952555969,0.0176232202675249,0.0450189576819102,0.279759948767904
"TLT",4783,0.000167164197361657,0.00957957082681812,0.0310399502111318,0.152070972446941
"SHY",4783,7.36813679826303e-05,0.000960328560535228,0.0186221588096376,0.0152447432885331
"LQD",4783,0.000178506003116134,0.00559313045858086,0.0418906485762034,0.0887881934624737
"HYG",4783,0.000216329011042028,0.00689207303601238,0.0497395719140179,0.109408267625896
"GLD",4783,0.000458023002569376,0.0113451191092456,0.104234883992198,0.180098182544823
